scenario,episode,tick,physics_begin,physics_end,source_time_ns,receipt_time_ns,core_status,probe_status,dt_s,command_attempted,command_accepted,probe_command_attempted,probe_command_accepted,fault_event,injected_torque_nm,zoh_ctrl_max_difference,contact_left,contact_right,base_position_0,base_position_1,base_position_2,base_quaternion_0,base_quaternion_1,base_quaternion_2,base_quaternion_3,base_linear_velocity_0,base_linear_velocity_1,base_linear_velocity_2,base_angular_velocity_0,base_angular_velocity_1,base_angular_velocity_2,q_0,q_1,q_2,q_3,q_4,q_5,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,tau_pd_0,tau_pd_1,tau_pd_2,tau_pd_3,tau_pd_4,tau_pd_5,tau_gravity_0,tau_gravity_1,tau_gravity_2,tau_gravity_3,tau_gravity_4,tau_gravity_5,tau_raw_0,tau_raw_1,tau_raw_2,tau_raw_3,tau_raw_4,tau_raw_5,saturated_0,saturated_1,saturated_2,saturated_3,saturated_4,saturated_5,disturbance_0,disturbance_1,disturbance_2,disturbance_3,disturbance_4,disturbance_5
control,0,0,0,5,0,0,0,-1,0,1,1,0,0,none,0,0,1,1,-0.077378152000000006,8.0999999999999997e-07,0.56772232,1,0,0,0,0,0,0,0,0,0,-1.3267204093873923,2.2088002548867229,0,-1.3267204093873923,2.2088002548867229,0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,0,1,5,10,10000000,10000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.077450418208651811,8.153608937871119e-07,0.56767109922066095,0.9999999976752364,-2.8586608916533717e-09,-6.8187438960041035e-05,-1.7666274034704302e-08,-0.012128522200656291,9.0963786709756494e-07,-0.0075956320280430797,-1.0282700716988099e-06,-0.022656951515659128,-5.3640820431038769e-06,-1.3240375492707488,2.2056465323639709,0.00033567406749185433,-1.3240369434159545,2.2056462940864319,0.00033360405642924212,0.45170596324120016,-0.53135533581354222,0.057193797023046243,0.45180631247702874,-0.53139535687503314,0.056844817858207206,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,0,2,10,15,20000000,20000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.077646210162876816,8.303213486969484e-07,0.56757649804606602,0.99999996928992929,-1.2361021360397687e-08,-0.00024783086531876113,-5.1162826904246023e-08,-0.024545346343838419,1.8906528970791909e-06,-0.010264777335624158,-2.5366178330583735e-06,-0.044674106303305351,-7.1480346312605405e-06,-1.3166929668466034,2.196972797098268,0.0013089160940548887,-1.3166908078807749,2.1969719208317064,0.0013010829665610765,0.9243021142595147,-1.0945320883493093,0.12598893894824331,0.92449177805292115,-1.0946111966291625,0.12525528834489583,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,0,3,15,20,30000000,30000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.077964753239313594,8.550859128993058e-07,0.56747206003989592,0.99999985721188223,-3.0497540793640561e-08,-0.00053439330757543699,-8.3742038280952069e-08,-0.036621611740532162,2.8590132328320267e-06,-0.010248291432998706,-4.39521113276596e-06,-0.065484428786933765,-5.6515586579744382e-06,-1.3045885202449659,2.1825353408695527,0.0030747384587340655,-1.3045840453493642,2.1825334747374927,0.0030569803965207667,1.4011396123328514,-1.6794369116771273,0.21352091601793585,1.4013951172772756,-1.6795476444466082,0.21234625726863235,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,0,4,20,25,40000000,40000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.078395366395373492,8.8879986765719541e-07,0.56737926080567136,0.99999958030463487,-5.8362900287575387e-08,-0.00091618259135126774,-9.983174890261725e-08,-0.04702549825966694,3.6822028816074266e-06,-0.0085928311834732145,-6.3431589626614909e-06,-0.083031428187259324,-1.3824996237584099e-06,-1.287749831554188,2.1621255495334499,0.0058913257433190211,-1.2877425995290395,2.1621224708688822,0.0058587158583235099,1.8699642516798365,-2.2838252934677024,0.33187770647013642,1.8702475695521656,-2.2839504946896021,0.33017198152535665,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,0,5,25,30,50000000,50000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.078917044629639554,9.2939852458267448e-07,0.56729876448676886,0.99999905466309624,-9.5077372358205546e-08,-0.0013750174169161989,-9.2999180273968706e-08,-0.055413996350980099,4.2874737106187615e-06,-0.0079042925836620339,-7.980574807764078e-06,-0.09732953264762878,3.109718511112951e-06,-1.2663570791487115,2.1356206953551484,0.010098604846210193,-1.2663470661753251,2.1356164048483568,0.010045287107631366,2.3154972652379744,-2.8955377981106012,0.48416015859838529,2.3157667495993901,-2.895652969827414,0.48183664971926071,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,0,6,30,35,60000000,60000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.079514931461135349,9.7501168048782025e-07,0.56721778496928532,0.9999981957864057,-1.3890510333673587e-07,-0.0018995851943746712,-6.5633768365400864e-08,-0.062543777289389008,4.722212463884129e-06,-0.0083113404338569369,-9.2733389566800125e-06,-0.10971400749242477,6.9661906864630303e-06,-1.2406447980064912,2.1029489997599708,0.016026028008077651,-1.2406323750451889,2.1029437577959982,0.015945423264245404,2.739166378708954,-3.5168196417009621,0.66983661922760696,2.7393831342381318,-3.5168974534709143,0.66682984597473283,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,0,7,35,40,70000000,70000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.080177024274718622,1.0240421656835745e-06,0.56713010289648191,0.99999692412488517,-1.8819033887665067e-07,-0.0024802702944305925,-2.0624503926111912e-08,-0.068496372747171658,5.0045244276571348e-06,-0.0090939479128253273,-1.0248063854420318e-05,-0.12015783099232165,1.0291699838281326e-05,-1.2108005346041191,2.0639623633298423,0.024028893802279478,-1.2107864666184962,2.0639567358291449,0.023913856426045141,3.1459822118409622,-4.1561115658563885,0.89235504322568238,3.1461065653002183,-4.1561191396512749,0.88861582521894766,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,0,8,40,45,80000000,80000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.080891699198006442,1.0750933648002714e-06,0.56703413464913932,0.99999517250590475,-2.4146942508467199e-07,-0.0031072439277286465,3.9706060290288088e-08,-0.07329237252270103,5.1564182582387721e-06,-0.0099253623259490022,-1.0949208241043979e-05,-0.12862039820738161,1.3193437748196165e-05,-1.1769656336146395,2.018437643066862,0.0344916330454784,-1.176951083711318,2.0184325651538328,0.034334684933662235,3.5405211700247508,-4.8205353067018084,1.1542848891394917,3.5405132796193741,-4.8204328118322763,1.1497920897510565,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,0,9,45,50,90000000,90000000,0,-1,0.01,1,1,0,0,none,0,0,1,1,-0.081647418907478203,1.1270255379006486e-06,0.56693033937471926,0.99999289158722393,-2.9753557755967734e-07,-0.0037705138803227544,1.1346853150379566e-07,-0.076936134812996909,5.2062754583477995e-06,-0.010663768879899034,-1.143243560240135e-05,-0.13507613973167681,1.5743811092910905e-05,-1.1392314841049913,1.9660796917489087,0.047820845879988624,-1.1392180138356318,1.9660765485510945,0.047614521562392646,3.9281757792188623,-5.5175218940633037,1.457666934914329,3.927995755349901,-5.5172605621764053,1.4524381129266879,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-1.3267204090965414,2.208800254273827,0,-1.3267204090965414,2.208800254273827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
